"distribution_center_id","name","latitude","longitude","product_id","cost","category","product_name","retail_price","sku","distribution_center_id","order_item_id","order_id","user_id","product_id","created_at","shipped_at","delivered_at","returned_at","sale_price","order_item_id","order_id","user_id","product_id","created_at","shipped_at","delivered_at","returned_at","sale_price","order_id","user_id","status","gender","created_at","shipped_at","delivered_at","returned_at"
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI14565","O10049","U8087","P002","2023-02-08","","","","90","","","","","","","","","","O10049","U8087","Cancelled","F","2023-02-08","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI144760","O99780","U79873","P002","2021-09-09","","","","90","","","","","","","","","","O99780","U79873","Cancelled","F","2021-09-09","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI29029","O19938","U15915","P002","2023-02-10","","","","90","","","","","","","","","","O19938","U15915","Processing","F","2023-02-10","","",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI75248","O51796","U41377","P010","2020-08-14","2020-08-16","2020-08-21","","115","","","","","","","","","","O51796","U41377","Complete","F","2020-08-14","2020-08-16","2020-08-21",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI92589","O63859","U51125","P010","2021-03-17","2021-03-19","2021-03-19","","115","","","","","","","","","","O63859","U51125","Complete","F","2021-03-17","2021-03-19","2021-03-19",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI103390","O71325","U57104","P010","2023-06-19","2023-06-18","2023-06-19","","115","","","","","","","","","","O71325","U57104","Complete","F","2023-06-19","2023-06-18","2023-06-19",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI109468","O75513","U60450","P010","2023-01-22","2023-01-21","2023-01-22","","115","","","","","","","","","","O75513","U60450","Complete","F","2023-01-22","2023-01-21","2023-01-22",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI136681","O94275","U75462","P010","2023-05-10","2023-05-11","2023-05-13","","115","","","","","","","","","","O94275","U75462","Complete","F","2023-05-10","2023-05-11","2023-05-13",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI104861","O72348","U57933","P010","2022-04-17","2022-04-17","2022-04-18","2022-04-18","115","","","","","","","","","","O72348","U57933","Returned","F","2022-04-17","2022-04-17","2022-04-18","2022-04-18"
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI90863","O62668","U50203","P010","2022-01-26","","","","115","","","","","","","","","","O62668","U50203","Cancelled","F","2022-01-26","","",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI132925","O91713","U73425","P010","2022-10-16","","","","115","","","","","","","","","","O91713","U73425","Processing","F","2022-10-16","","",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI177234","O122116","U97713","P010","2021-08-19","","","","115","","","","","","","","","","O122116","U97713","Processing","F","2021-08-19","","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI113743","O78456","U62715","P004","2022-05-08","2022-05-09","","","25","","","","","","","","","","O78456","U62715","Shipped","F","2022-05-08","2022-05-09","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI125266","O86436","U69177","P004","2022-08-16","2022-08-18","","","25","","","","","","","","","","O86436","U69177","Shipped","F","2022-08-16","2022-08-18","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI141305","O97407","U77983","P004","2023-02-04","2023-02-07","","","25","","","","","","","","","","O97407","U77983","Shipped","F","2023-02-04","2023-02-07","",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI20601","O14164","U11375","P004","2022-06-13","2022-06-13","2022-06-15","","25","","","","","","","","","","O14164","U11375","Complete","F","2022-06-13","2022-06-13","2022-06-15",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI131090","O90439","U72370","P004","2022-04-16","2022-04-19","2022-04-24","","25","","","","","","","","","","O90439","U72370","Complete","F","2022-04-16","2022-04-19","2022-04-24",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI176842","O121848","U97500","P004","2023-05-04","2023-05-03","2023-05-05","","25","","","","","","","","","","O121848","U97500","Complete","F","2023-05-04","2023-05-03","2023-05-05",""
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI168757","O116252","U93002","P004","2023-02-10","2023-02-07","2023-02-08","2023-02-10","25","","","","","","","","","","O116252","U93002","Returned","F","2023-02-10","2023-02-07","2023-02-08","2023-02-08"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI178805","O123199","U98568","P004","2022-07-09","2022-07-11","2022-07-15","2022-07-16","25","","","","","","","","","","O123199","U98568","Returned","F","2022-07-09","2022-07-11","2022-07-15","2022-07-15"
"DC003","Houston TX","29.7604","-95.3698","P004","12.081981","Apparel","Nike Dri-FIT Tee","25","C9F0F","DC003","OI80333","O55338","U44245","P004","2023-03-26","","","","25","","","","","","","","","","O55338","U44245","Processing","F","2023-03-26","","",""
"DC001","Memphis TN","35.1174","-89.9711","P001","27.04799992","Sneakers","Nike Air Max 270","99.99","C4CA4","DC001","OI40461","O27829","U22118","P001","2021-10-05","2021-10-07","","","99.99","","","","","","","","","","O27829","U22118","Shipped","F","2021-10-05","2021-10-07","",""
"DC001","Memphis TN","35.1174","-89.9711","P001","27.04799992","Sneakers","Nike Air Max 270","99.99","C4CA4","DC001","OI67090","O46207","U36881","P001","2021-08-16","2021-08-16","","","99.99","","","","","","","","","","O46207","U36881","Shipped","F","2021-08-16","2021-08-16","",""
"DC001","Memphis TN","35.1174","-89.9711","P001","27.04799992","Sneakers","Nike Air Max 270","99.99","C4CA4","DC001","OI113122","O78036","U62407","P001","2022-11-05","2022-11-08","","","99.99","","","","","","","","","","O78036","U62407","Shipped","F","2022-11-05","2022-11-08","",""
"DC001","Memphis TN","35.1174","-89.9711","P001","27.04799992","Sneakers","Nike Air Max 270","99.99","C4CA4","DC001","OI130876","O90295","U72268","P001","2023-03-28","2023-03-30","","","99.99","","","","","","","","","","O90295","U72268","Shipped","F","2023-03-28","2023-03-30","",""
"DC001","Memphis TN","35.1174","-89.9711","P001","27.04799992","Sneakers","Nike Air Max 270","99.99","C4CA4","DC001","OI153607","O105819","U84668","P001","2023-04-03","2023-04-04","","","99.99","","","","","","","","","","O105819","U84668","Shipped","F","2023-04-03","2023-04-04","",""
"DC001","Memphis TN","35.1174","-89.9711","P001","27.04799992","Sneakers","Nike Air Max 270","99.99","C4CA4","DC001","OI166706","O114853","U91855","P001","2022-12-11","2022-12-10","2022-12-14","","99.99","","","","","","","","","","O114853","U91855","Complete","F","2022-12-11","2022-12-10","2022-12-14",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI67719","O46643","U37216","P010","2022-10-07","2022-10-10","","","115","","","","","","","","","","O46643","U37216","Shipped","F","2022-10-07","2022-10-10","",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI104347","O71989","U57667","P010","2021-02-07","2021-02-09","2021-02-13","","115","","","","","","","","","","O71989","U57667","Complete","F","2021-02-07","2021-02-09","2021-02-13",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI109316","O75415","U60360","P010","2023-06-19","2023-06-20","2023-06-24","","115","","","","","","","","","","O75415","U60360","Complete","F","2023-06-19","2023-06-20","2023-06-24",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI14382","O9912","U7983","P010","2020-02-22","2020-02-24","2020-02-27","2020-02-28","115","","","","","","","","","","O9912","U7983","Returned","F","2020-02-22","2020-02-24","2020-02-27","2020-02-27"
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI54037","O37125","U29560","P010","2021-12-09","","","","115","","","","","","","","","","O37125","U29560","Cancelled","F","2021-12-09","","",""
"DC007","Philadelphia PA","39.95","-75.1667","P010","57.13199991","Sneakers","Nike Court Royale","115","A87FF","DC007","OI38097","O26207","U20838","P010","2023-06-08","","","","115","","","","","","","","","","O26207","U20838","Processing","F","2023-06-08","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI99841","O68830","U55111","P011","2022-02-12","2022-02-14","","","55","","","","","","","","","","O68830","U55111","Shipped","F","2022-02-12","2022-02-14","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI152064","O104779","U83854","P011","2022-10-14","2022-10-14","","","55","","","","","","","","","","O104779","U83854","Shipped","F","2022-10-14","2022-10-14","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI32696","O22489","U17928","P011","2023-06-08","2023-06-11","2023-06-12","","55","","","","","","","","","","O22489","U17928","Complete","F","2023-06-08","2023-06-11","2023-06-12",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI19852","O13661","U10941","P011","2021-08-19","","","","55","","","","","","","","","","O13661","U10941","Cancelled","F","2021-08-19","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI169391","O116664","U93331","P011","2023-04-16","","","","55","","","","","","","","","","O116664","U93331","Cancelled","F","2023-04-16","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI161684","O111430","U89154","P011","2020-02-11","","","","55","","","","","","","","","","O111430","U89154","Processing","F","2020-02-11","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI178203","O122781","U98239","P011","2023-06-24","","","","55","","","","","","","","","","O122781","U98239","Processing","F","2023-06-24","","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI5492","O3747","U2992","P009","2023-06-02","2023-06-02","","","30","","","","","","","","","","O3747","U2992","Shipped","F","2023-06-02","2023-06-02","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI20882","O14354","U11516","P009","2023-04-04","2023-04-06","","","30","","","","","","","","","","O14354","U11516","Shipped","F","2023-04-04","2023-04-06","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI69448","O47802","U38193","P009","2023-02-22","2023-02-22","","","30","","","","","","","","","","O47802","U38193","Shipped","F","2023-02-22","2023-02-22","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI179628","O123753","U99033","P009","2022-05-14","2022-05-14","2022-05-15","","30","","","","","","","","","","O123753","U99033","Complete","F","2022-05-14","2022-05-14","2022-05-15",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI150924","O104001","U83248","P009","2020-07-13","2020-07-13","2020-07-14","2020-07-17","30","","","","","","","","","","O104001","U83248","Returned","F","2020-07-13","2020-07-13","2020-07-14","2020-07-14"
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI118988","O82086","U65563","P009","2021-06-07","","","","30","","","","","","","","","","O82086","U65563","Processing","F","2021-06-07","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI106200","O73279","U58681","P011","2022-06-26","2022-06-28","","","55","","","","","","","","","","O73279","U58681","Shipped","F","2022-06-26","2022-06-28","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI145082","O100012","U80065","P011","2022-08-16","2022-08-16","","","55","","","","","","","","","","O100012","U80065","Shipped","F","2022-08-16","2022-08-16","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI130963","O90352","U72304","P011","2020-03-13","2020-03-16","2020-03-17","","55","","","","","","","","","","O90352","U72304","Complete","F","2020-03-13","2020-03-16","2020-03-17",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI26720","O18370","U14624","P011","2021-03-26","","","","55","","","","","","","","","","O18370","U14624","Cancelled","F","2021-03-26","","",""
"","","","","P011","41.00499986","Apparel","Nike Dri-FIT Shorts","55","ECCBC","DC008","OI24181","O16641","U13305","P011","2021-10-08","","","","55","","","","","","","","","","O16641","U13305","Processing","F","2021-10-08","","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI4479","O3061","U2442","P003","2022-10-05","2022-10-05","","","9.75","","","","","","","","","","O3061","U2442","Shipped","F","2022-10-05","2022-10-05","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI83244","O57332","U45908","P003","2023-01-01","2023-01-02","","","9.75","","","","","","","","","","O57332","U45908","Shipped","F","2023-01-01","2023-01-02","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI159726","O110066","U88095","P003","2021-02-06","2021-02-08","","","9.75","","","","","","","","","","O110066","U88095","Shipped","F","2021-02-06","2021-02-08","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI113680","O78416","U62686","P003","2022-09-06","2022-09-06","2022-09-10","","9.75","","","","","","","","","","O78416","U62686","Complete","F","2022-09-06","2022-09-06","2022-09-10",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI124372","O85794","U68627","P003","2020-04-17","2020-04-16","2020-04-17","2020-04-18","9.75","","","","","","","","","","O85794","U68627","Returned","F","2020-04-17","2020-04-16","2020-04-17","2020-04-17"
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI134074","O92510","U74075","P003","2022-07-12","2022-07-08","2022-07-12","2022-07-13","9.75","","","","","","","","","","O92510","U74075","Returned","F","2022-07-12","2022-07-08","2022-07-12","2022-07-12"
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI90448","O62402","U50000","P003","2021-05-07","","","","9.75","","","","","","","","","","O62402","U50000","Cancelled","F","2021-05-07","","",""
"DC002","Chicago IL","41.8369","-87.6847","P003","27.91799985","Sneakers","Nike Tanjun","65","45C48","DC002","OI59913","O41183","U32821","P003","2021-02-09","","","","9.75","","","","","","","","","","O41183","U32821","Processing","F","2021-02-09","","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI40406","O27800","U22096","P006","2023-04-06","2023-04-03","","","11.25","","","","","","","","","","O27800","U22096","Shipped","F","2023-04-06","2023-04-03","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI156043","O107527","U86059","P006","2023-01-02","2023-01-05","","","11.25","","","","","","","","","","O107527","U86059","Shipped","F","2023-01-02","2023-01-05","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI128020","O88327","U70718","P006","2022-06-03","2022-06-04","2022-06-06","","11.25","","","","","","","","","","O88327","U70718","Complete","F","2022-06-03","2022-06-04","2022-06-06",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI43517","O29937","U23813","P006","2022-10-17","","","","11.25","","","","","","","","","","O29937","U23813","Processing","F","2022-10-17","","",""
"DC004","Los Angeles CA","34.05","-118.25","P006","30.66549992","Activewear","Nike Pro Tights","35","D3D94","DC004","OI124208","O85685","U68533","P006","2022-03-27","","","","11.25","","","","","","","","","","O85685","U68533","Processing","F","2022-03-27","","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI64484","O44350","U35401","P007","2021-10-02","2021-10-03","","","12.75","","","","","","","","","","O44350","U35401","Shipped","F","2021-10-02","2021-10-03","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI99745","O68772","U55074","P007","2021-08-17","2021-08-18","","","12.75","","","","","","","","","","O68772","U55074","Shipped","F","2021-08-17","2021-08-18","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI144978","O99938","U80011","P007","2023-05-19","2023-05-19","","","12.75","","","","","","","","","","O99938","U80011","Shipped","F","2023-05-19","2023-05-19","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI135379","O93389","U74778","P007","2023-06-10","2023-06-07","2023-06-08","","12.75","","","","","","","","","","O93389","U74778","Complete","F","2023-06-10","2023-06-07","2023-06-08",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI122350","O84404","U67439","P007","2019-12-06","2019-12-07","2019-12-07","2019-12-09","12.75","","","","","","","","","","O84404","U67439","Returned","F","2019-12-06","2019-12-07","2019-12-07","2019-12-07"
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI67611","O46565","U37156","P007","2022-12-31","","","","12.75","","","","","","","","","","O46565","U37156","Cancelled","F","2022-12-31","","",""
"DC005","New Orleans LA","29.95","-90.0667","P007","20.93499997","Accessories","Nike Sportswear","40","8F14E","DC005","OI139016","O95859","U76765","P007","2023-01-01","","","","12.75","","","","","","","","","","O95859","U76765","Processing","F","2023-01-01","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI29070","O19967","U15936","P008","2023-02-15","2023-02-15","","","14.75","","","","","","","","","","O19967","U15936","Shipped","F","2023-02-15","2023-02-15","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI121991","O84173","U67246","P008","2022-08-08","2022-08-10","","","14.75","","","","","","","","","","O84173","U67246","Shipped","F","2022-08-08","2022-08-10","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI113440","O78252","U62562","P008","2020-03-14","2020-03-14","2020-03-18","","14.75","","","","","","","","","","O78252","U62562","Complete","F","2020-03-14","2020-03-14","2020-03-18",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI144445","O99563","U79696","P008","2021-12-12","2021-12-13","2021-12-15","","14.75","","","","","","","","","","O99563","U79696","Complete","F","2021-12-12","2021-12-13","2021-12-15",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI47448","O32656","U25980","P008","2021-11-29","","","","14.75","","","","","","","","","","O32656","U25980","Processing","F","2021-11-29","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI67376","O46394","U37033","P008","2023-05-28","","","","14.75","","","","","","","","","","O46394","U37033","Processing","F","2023-05-28","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI157017","O108197","U86562","P008","2021-10-10","","","","14.75","","","","","","","","","","O108197","U86562","Processing","F","2021-10-10","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI158135","O108970","U87241","P008","2023-05-05","","","","14.75","","","","","","","","","","O108970","U87241","Processing","F","2023-05-01","","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI25320","O17407","U13887","P009","2020-05-27","2020-05-28","","","16.5","","","","","","","","","","O17407","U13887","Shipped","F","2020-05-27","2020-05-28","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI62971","O43303","U34533","P009","2023-06-02","2023-06-04","","","16.5","","","","","","","","","","O43303","U34533","Shipped","F","2023-06-02","2023-06-04","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI91251","O62942","U50432","P009","2023-05-05","2023-05-07","","","16.5","","","","","","","","","","O62942","U50432","Shipped","F","2023-05-05","2023-05-07","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI113085","O78007","U62381","P009","2022-09-13","2022-09-15","","","16.5","","","","","","","","","","O78007","U62381","Shipped","F","2022-09-13","2022-09-15","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI170047","O117111","U93685","P009","2022-12-30","2022-12-31","","","16.5","","","","","","","","","","O117111","U93685","Shipped","F","2022-12-30","2022-12-31","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI137162","O94620","U75726","P009","2023-06-03","2023-06-02","2023-06-05","","16.5","","","","","","","","","","O94620","U75726","Complete","F","2023-06-03","2023-06-02","2023-06-05",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI143200","O98713","U79031","P009","2023-04-09","2023-04-08","2023-04-10","","16.5","","","","","","","","","","O98713","U79031","Complete","F","2023-04-09","2023-04-08","2023-04-10",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI164137","O113099","U90463","P009","2023-06-14","2023-06-13","2023-06-14","","16.5","","","","","","","","","","O113099","U90463","Complete","F","2023-06-14","2023-06-13","2023-06-14",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI133147","O91862","U73554","P009","2022-09-21","","","","16.5","","","","","","","","","","O91862","U73554","Cancelled","F","2022-09-21","","",""
"DC006","Mobile AL","30.6944","-88.0431","P009","8.935999662","Accessories","Nike Gym Sack","30","16790","DC006","OI96160","O66350","U53076","P009","2021-06-23","","","","16.5","","","","","","","","","","O66350","U53076","Processing","F","2021-06-23","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI16119","O11116","U8873","P008","2021-12-07","2021-12-09","","","17.5","","","","","","","","","","O11116","U8873","Shipped","F","2021-12-07","2021-12-09","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI64630","O44460","U35502","P002","2023-02-12","2023-02-12","","","17.5","","","","","","","","","","O44460","U35502","Shipped","F","2023-02-12","2023-02-12","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI65864","O45343","U36218","P008","2022-09-13","2022-09-15","2022-09-18","","17.5","","","","","","","","","","O45343","U36218","Complete","F","2022-09-13","2022-09-15","2022-09-18",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI134205","O92597","U74143","P008","2022-02-24","2022-02-26","2022-02-26","","17.5","","","","","","","","","","O92597","U74143","Complete","F","2022-02-24","2022-02-26","2022-02-26",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI145610","O100365","U80341","P008","2022-03-24","2022-03-22","2022-03-23","","17.5","","","","","","","","","","O100365","U80341","Complete","F","2022-03-24","2022-03-22","2022-03-23",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI40312","O27736","U22050","P008","2022-10-15","2022-10-15","2022-10-17","2022-10-19","17.5","","","","","","","","","","O27736","U22050","Returned","F","2022-10-15","2022-10-15","2022-10-17","2022-10-17"
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI70310","O48395","U38691","P008","2020-07-29","","","","17.5","","","","","","","","","","O48395","U38691","Cancelled","F","2020-07-29","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI109724","O75695","U60582","P002","2023-03-06","","","","17.5","","","","","","","","","","O75695","U60582","Cancelled","F","2023-03-06","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI170976","O117759","U94201","P002","2020-07-31","","","","17.5","","","","","","","","","","O117759","U94201","Cancelled","F","2020-07-31","","",""
"DC005","New Orleans LA","29.95","-90.0667","P008","48.86699984","Accessories","Nike Benassi","40","6512B","DC005","OI3314","O2257","U1789","P008","2022-01-20","","","","17.5","","","","","","","","","","O2257","U1789","Processing","F","2022-01-20","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI130279","O89904","U71947","P002","2021-03-27","","","","17.5","","","","","","","","","","O89904","U71947","Processing","F","2021-03-27","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI144569","O99644","U79759","P002","2023-05-11","","","","17.5","","","","","","","","","","O99644","U79759","Processing","F","2023-05-11","","",""
"DC002","Chicago IL","41.8369","-87.6847","P002","52.35799987","Sneakers","Nike Air Force 1","90","E4DA3","DC002","OI146538","O101001","U80862","P002","2022-08-04","","","","17.5","","","","","","","","","","O101001","U80862","Processing","F","2022-08-04","","",""
"DC003","Houston TX","29.7604","-95.3698","P005","16.62649992","Apparel","Nike Legend Tee","30","C81E7","DC003","OI9210","O6292","U5101","P005","2022-08-23","2022-08-24","","","19.5","","","","","","","","","","O6292","U5101","Shipped","F","2022-08-23","2022-08-24","",""
